rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
1,190166,Basílica de la Sagrada Familia,Points of Interest & Landmarks • Architectural Buildings,Eixample,4.7,167738,TRUE,,Admission Tickets Available,"Basilica de la Sagrada Familia is a church devoted to the Holy Family. One of Antoni Gaudi’s most famous works, the church is perhaps best known for still being under construction since 1882—with …",https://www.tripadvisor.com/Attraction_Review-g187497-d190166-Reviews-Basilica_de_la_Sagrada_Familia-Barcelona_Catalonia.html
2,191052,Casa Batlló,Points of Interest & Landmarks • Architectural Buildings,Eixample,4.6,59359,TRUE,,Admission Tickets Available,Welcome to Barcelona's magical house. A Gaudí masterpiece. A unique immersive experience. International Exhibition of the Year 2022. Children free up to 12 years old.,https://www.tripadvisor.com/Attraction_Review-g187497-d191052-Reviews-Casa_Batllo-Barcelona_Catalonia.html
3,190624,Park Güell,Parks,Gracia,4.2,78676,TRUE,,Admission Tickets Available,"The quirky colorful mosaics and undulating curves of Park Güell are a signature of the legendary Catalan architect Antoni Gaudi, who designed many of the features in this park. Officially opened in…",https://www.tripadvisor.com/Attraction_Review-g187497-d190624-Reviews-Park_Guell-Barcelona_Catalonia.html
4,190164,Mercat de la Boqueria,Farmers Markets,La Rambla,4.5,27223,TRUE,,,"Officially known as the Mercat de San Josep as it was built on a former monastery, La Boqueria is a popular food market along Barcelona's touristy La Rambla stretch. Dating back to the 13th century…",https://www.tripadvisor.com/Attraction_Review-g187497-d190164-Reviews-Mercat_de_la_Boqueria-Barcelona_Catalonia.html
5,190162,Gothic Quarter,Neighborhoods • Historic Walking Areas,Barrio Gòtico (Barri Gòtic),4.6,40593,TRUE,,,Stroll through the historic center of medieval Barcelona and visit some of the city's most important political buildings and gothic architecture.,https://www.tripadvisor.com/Attraction_Review-g187497-d190162-Reviews-Gothic_Quarter-Barcelona_Catalonia.html
6,190629,La Pedrera - Casa Milà,Points of Interest & Landmarks • Architectural Buildings,Eixample,4.4,24196,TRUE,,Admission Tickets Available,"Casa Mila, popularly known as La Pedrera, is a most unusual building, constructed between 1906 and 1912 by the architect Antoni Gaudí (1852–1926) and declared UNESCO World Heritage in 1984. Today …",https://www.tripadvisor.com/Attraction_Review-g187497-d190629-Reviews-La_Pedrera_Casa_Mila-Barcelona_Catalonia.html
7,190824,Palace of Catalan Music,Architectural Buildings • Theaters,El Born / La Ribera,4.7,19180,TRUE,,Admission Tickets Available,"The Palau, an icon of modernist architecture in downtown Barcelona The Palau de la Música Catalana is one of the most representative monuments of the city and It is one of the most recommended tourist…",https://www.tripadvisor.com/Attraction_Review-g187497-d190824-Reviews-Palace_of_Catalan_Music-Barcelona_Catalonia.html
8,246171,Basílica de Santa Maria del Mar,Historic Sites • Architectural Buildings,El Born / La Ribera,4.6,14048,TRUE,,Admission Tickets Available,"A jewel of the La Ribera neighborhood, this is Barcelona's last remaining Catalan Gothic-style church, with majestic naves and beautiful stained glass windows.",https://www.tripadvisor.com/Attraction_Review-g187497-d246171-Reviews-Basilica_de_Santa_Maria_del_Mar-Barcelona_Catalonia.html
9,501696,The Magic Fountain,Points of Interest & Landmarks,Sants-Montjuíc,4.5,29637,FALSE,,,"- Temporarily closed A combination display of water, music and light which was originally built in 1929. It was restored in 1992 and provides a spectacular show every half hour.",https://www.tripadvisor.com/Attraction_Review-g187497-d501696-Reviews-The_Magic_Fountain-Barcelona_Catalonia.html
10,319140,Erotic Museum of Barcelona (Museu de l'Erotica),Speciality Museums,La Rambla,4.4,3710,TRUE,Open now,,This quirky museum in La Rambla is a collection of over 800 artifacts tracing the history of and evolution of eroticism and human sexuality.,https://www.tripadvisor.com/Attraction_Review-g187497-d319140-Reviews-Erotic_Museum_of_Barcelona_Museu_de_l_Erotica-Barcelona_Catalonia.html
11,531598,Casa Vicens Gaudí,Architectural Buildings • Monuments & Statues,Gracia,4.6,2697,TRUE,,Admission Tickets Available,"GAUDÍ'S FIRST HOUSE: Casa Vicens is the first masterpiece of Antoni Gaudi and sowed the seeds of later works. Built between 1883 and 1885 as a summer house for the Vicens family, here he showcased…",https://www.tripadvisor.com/Attraction_Review-g187497-d531598-Reviews-Casa_Vicens_Gaudi-Barcelona_Catalonia.html
12,244211,CosmoCaixa Museum Of Science,Speciality Museums • Science Museums,Sant Gervasi-La Bonanova,4.6,4286,TRUE,,,CosmoCaixa offers its visitors a whole host of activities and permanent and temporary exhibitions to give anyone who is interested a greater insight into the world of science. The museum’s most distinctive…,https://www.tripadvisor.com/Attraction_Review-g187497-d244211-Reviews-CosmoCaixa_Museum_Of_Science-Barcelona_Catalonia.html
13,2359212,Parc de Montjuic,Speciality Museums • Parks,Sants-Montjuíc,4.4,11275,TRUE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187497-d2359212-Reviews-Parc_de_Montjuic-Barcelona_Catalonia.html
14,246511,Parc de la Ciutadella,Parks,Ciutadella / Vila Olimpica,4.5,8307,TRUE,,,"The 44 acres (18 hectares) are home to Castell dels Tres Dragons, the Umbracle (plant house) and Hivernacle (glass house).",https://www.tripadvisor.com/Attraction_Review-g187497-d246511-Reviews-Parc_de_la_Ciutadella-Barcelona_Catalonia.html
15,257527,Museu Nacional d'Art de Catalunya,Art Museums,Sants-Montjuíc,4.6,7441,TRUE,,Admission Tickets Available,An art museum containing hundreds of pieces from the medieval age to the 19th century.,https://www.tripadvisor.com/Attraction_Review-g187497-d257527-Reviews-Museu_Nacional_d_Art_de_Catalunya-Barcelona_Catalonia.html
16,190165,Museu Picasso,Art Museums,El Born / La Ribera,4.2,10184,FALSE,,,"The Museu Picasso in Barcelona is a key reference for understanding the formative years of Pablo Picasso. The genius of the young artist is revealed through the 4,251 works that make up the permanent…",https://www.tripadvisor.com/Attraction_Review-g187497-d190165-Reviews-Museu_Picasso-Barcelona_Catalonia.html
17,191048,Catedral de Barcelona,Churches & Cathedrals,Barrio Gòtico (Barri Gòtic),4.4,10067,TRUE,,Admission Tickets Available,A beautiful gothic cathedral with stained glass windows dating back 500 years.,https://www.tripadvisor.com/Attraction_Review-g187497-d191048-Reviews-Catedral_de_Barcelona-Barcelona_Catalonia.html
18,195113,Parc d’Atraccions Tibidabo,Amusement & Theme Parks,,4.3,7895,FALSE,,Admission Tickets Available,"Welcome to a magical place. And one of Barcelona’s landmarks. We invite you to take a tour through our Amusement Park - now over 100 years old and one of the oldest in the world, yet still constantly…",https://www.tripadvisor.com/Attraction_Review-g187497-d195113-Reviews-Parc_d_Atraccions_Tibidabo-Barcelona_Catalonia.html
19,190163,Las Ramblas,Neighborhoods • Points of Interest & Landmarks,La Rambla,3.9,38501,FALSE,,,"This pedestrian-only street is a rite of passage for first-time travelers in Barcelona. Starting from Plaça de Catalunya, amble along the boulevard where you'll find food kiosks and spot famed attractions…",https://www.tripadvisor.com/Attraction_Review-g187497-d190163-Reviews-Las_Ramblas-Barcelona_Catalonia.html
20,271009,Spotify Camp Nou,Arenas & Stadiums,La Maternitat i Sant Ramon,4.4,40364,FALSE,,Admission Tickets Available,"This gigantic stadium is the largest soccer stadium in Europe, with a seating capacity of 100,000",https://www.tripadvisor.com/Attraction_Review-g187497-d271009-Reviews-Spotify_Camp_Nou-Barcelona_Catalonia.html
21,254723,Passeig de Gracia,Points of Interest & Landmarks • Scenic Walking Areas,Eixample,4.5,14008,TRUE,,,"Major thoroughfare in Barcelona that is lined with shops, restaurants, bars and some of Gaudí's architectural masterpieces.",https://www.tripadvisor.com/Attraction_Review-g187497-d254723-Reviews-Passeig_de_Gracia-Barcelona_Catalonia.html
22,1192272,Recinte Modernista de Sant Pau,Architectural Buildings,El Guinardó,4.7,4842,TRUE,,Admission Tickets Available,"Formerly Barcelona's most important hospital, this lavish art-nouveau complex is the seminal work of Catalan architect, Lluís Domènech i Montaner, and a UNESCO monument.",https://www.tripadvisor.com/Attraction_Review-g187497-d1192272-Reviews-Recinte_Modernista_de_Sant_Pau-Barcelona_Catalonia.html
23,2645511,Playa de La Barceloneta,Beaches,Barceloneta,4.1,9460,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d2645511-Reviews-Playa_de_La_Barceloneta-Barcelona_Catalonia.html
24,21304662,Museo Alien,Speciality Museums,Navas,5,716,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21304662-Reviews-Museo_Alien-Barcelona_Catalonia.html
25,3224257,Temple of the Sacred Heart of Jesus,Churches & Cathedrals,,4.6,1786,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d3224257-Reviews-Temple_of_the_Sacred_Heart_of_Jesus-Barcelona_Catalonia.html
