rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
1,191050,Parque del Retiro,Parks,Retiro,4.7,57199,TRUE,,,Peaceful urban park centered around a beautiful lake.,https://www.tripadvisor.com/Attraction_Review-g187514-d191050-Reviews-Parque_del_Retiro-Madrid.html
2,190143,Museo Nacional del Prado,Art Museums,Paseo del Prado,4.7,58764,TRUE,,Admission Tickets Available,"The Prado has one of the largest art collections in the world, and is best known for its diverse assortment of works by Velasquez, Goya and El Greco.",https://www.tripadvisor.com/Attraction_Review-g187514-d190143-Reviews-Museo_Nacional_del_Prado-Madrid.html
3,190146,Royal Palace of Madrid,Historic Sites • Architectural Buildings,Centro,4.5,35891,TRUE,,Admission Tickets Available,"Luxurious, over-the-top rococo palace with over 2,000 opulently gilded rooms.",https://www.tripadvisor.com/Attraction_Review-g187514-d190146-Reviews-Royal_Palace_of_Madrid-Madrid.html
4,796251,Santiago Bernabeu Stadium,Arenas & Stadiums,Hispanoamérica,4.5,23489,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d796251-Reviews-Santiago_Bernabeu_Stadium-Madrid.html
5,1520183,Mercado San Miguel,Flea & Street Markets,Centro,4.3,15968,FALSE,Open now,,"Back in 1916, San Miguel started as a wholesale food market. Today, this covered gourmet market’s drawcard is some of Spain’s finest produce and regional specialties. You'll find it nestled in the…",https://www.tripadvisor.com/Attraction_Review-g187514-d1520183-Reviews-Mercado_San_Miguel-Madrid.html
6,198867,Museo Nacional Thyssen-Bornemisza,Speciality Museums,Paseo del Prado,4.6,17045,TRUE,,Admission Tickets Available,"The Thyssen-Bornemisza Museum offers visitors an overview of art from the 13th century to the late 20th century. In the nearly one thousand works on display, visitors can contemplate the major periods…",https://www.tripadvisor.com/Attraction_Review-g187514-d198867-Reviews-Museo_Nacional_Thyssen_Bornemisza-Madrid.html
7,246516,Gran Via,Points of Interest & Landmarks,Centro,4.3,14817,TRUE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d246516-Reviews-Gran_Via-Madrid.html
8,190142,Plaza Mayor,Historic Sites • Points of Interest & Landmarks,Centro,4.2,27305,TRUE,Open now,,"Huge plaza packed with cafes, bars and tourists.",https://www.tripadvisor.com/Attraction_Review-g187514-d190142-Reviews-Plaza_Mayor-Madrid.html
9,190152,Museo Nacional Centro de Arte Reina Sofía,Art Museums,Paseo del Prado,4.3,16924,FALSE,,Admission Tickets Available,"World famous modern art museum featuring a diverse collection of 20th century Spanish art, from Picasso to Solana.",https://www.tripadvisor.com/Attraction_Review-g187514-d190152-Reviews-Museo_Nacional_Centro_de_Arte_Reina_Sofia-Madrid.html
10,14176968,Mementorium,Theaters,Centro,5,1231,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d14176968-Reviews-Mementorium-Madrid.html
11,244303,Templo de Debod,Ancient Ruins • Architectural Buildings,Moncloa - Aravaca,4.2,13733,FALSE,,,This place is temporarily closed due to technical problems. The Egyptian temple dating back to the second century B.C. was transported to Madrid’s Cuartel de la Montana Park.,https://www.tripadvisor.com/Attraction_Review-g187514-d244303-Reviews-Templo_de_Debod-Madrid.html
12,190140,Puerta del Sol,Points of Interest & Landmarks,Centro,4.2,11016,TRUE,,,"Considered by many to be the ""hub"" of the city, this large urban plaza contains many statues and monuments.",https://www.tripadvisor.com/Attraction_Review-g187514-d190140-Reviews-Puerta_del_Sol-Madrid.html
13,190153,Museo Sorolla,Art Museums,Chamberí,4.7,6578,TRUE,,,"The Sorolla Museum preserves the original atmosphere of both home and study of the painter Joaquín Sorolla y Bastida (Valencia, 1863 - Cercedilla, 1923). It houses the richest collection of his works…",https://www.tripadvisor.com/Attraction_Review-g187514-d190153-Reviews-Museo_Sorolla-Madrid.html
14,244277,National Archaeological Museum,Art Museums • History Museums,Barrio de Salamanca,4.7,4284,TRUE,,Admission Tickets Available,"Works dating mostly from Hispanic prehistory to the Modern Age, but it also includes some other cultural remains: Greek, Etruscan, Roman and various South American cultures.",https://www.tripadvisor.com/Attraction_Review-g187514-d244277-Reviews-National_Archaeological_Museum-Madrid.html
15,190547,El Rastro,Flea & Street Markets,La Latina,3.8,1673,FALSE,,,"Flea market lovers flock to this large open-air market every Sunday. From rock band memorabilia to second-hand goods to food stands and live music, this market has it all.",https://www.tripadvisor.com/Attraction_Review-g187514-d190547-Reviews-El_Rastro-Madrid.html
16,261853,Museo Cerralbo,Historic Sites • Architectural Buildings,Arguelles,4.6,2278,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d261853-Reviews-Museo_Cerralbo-Madrid.html
17,190147,Las Ventas Bullring,Historic Sites • Points of Interest & Landmarks,Salamanca (District),4.2,2733,TRUE,,Admission Tickets Available,Spain's largest bullfighting ring.,https://www.tripadvisor.com/Attraction_Review-g187514-d190147-Reviews-Las_Ventas_Bullring-Madrid.html
18,243181,Plaza de Cibeles,Points of Interest & Landmarks,Barrio de Salamanca,4.4,5631,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d243181-Reviews-Plaza_de_Cibeles-Madrid.html
19,2352610,Parque de El Capricho,Parks • Gardens,Barajas (District),4.6,1668,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2352610-Reviews-Parque_de_El_Capricho-Madrid.html
20,313713,Estacion de Atocha,Points of Interest & Landmarks • Architectural Buildings,Atocha,4.1,6507,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d313713-Reviews-Estacion_de_Atocha-Madrid.html
21,2239279,Parque Madrid Río,Parks,Madrid Río Park,4.4,2240,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2239279-Reviews-Parque_Madrid_Rio-Madrid.html
22,244305,Zoo Aquarium de Madrid,Zoos • Aquariums,Moncloa - Aravaca,3.8,3197,FALSE,,Admission Tickets Available,"Madrid Zoo Aquarium is a zoo is park of animales where you can find more than 4,000 animals of 500 different species along its 22 hectares spread over in five continents. You can visit our giant panda…",https://www.tripadvisor.com/Attraction_Review-g187514-d244305-Reviews-Zoo_Aquarium_de_Madrid-Madrid.html
23,32604022,Oxo Museo Del Videojuego Madrid,Speciality Museums,,4.9,605,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d32604022-Reviews-Oxo_Museo_Del_Videojuego_Madrid-Madrid.html
24,1056414,Palacio De Cristal,Architectural Buildings,Retiro,4.3,3731,TRUE,Temporarily closed,,- Temporarily closed,https://www.tripadvisor.com/Attraction_Review-g187514-d1056414-Reviews-Palacio_De_Cristal-Madrid.html
25,10413604,Windobona Indoor Skydiving Madrid,Sports Complexes • Game & Entertainment Centers,Buenavista,4.8,1035,TRUE,,,"WINDOBONA Madrid is a vertical wind tunnel that allows visitors to experience indoor skydiving (also known as ""bodyflight""). By moving air up in a vertical column at speeds of up to 280 km/h, the …",https://www.tripadvisor.com/Attraction_Review-g187514-d10413604-Reviews-Windobona_Indoor_Skydiving_Madrid-Madrid.html
26,244297,Real Basilica de San Francisco el Grande,Religious Sites • Churches & Cathedrals,Centro,4.6,1884,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244297-Reviews-Real_Basilica_de_San_Francisco_el_Grande-Madrid.html
27,1520028,Caixa Forum,Speciality Museums,Paseo del Prado,4.3,2060,TRUE,,,"A postmodern art gallery, it also exhibits retrospectives of artists from earlier time periods.",https://www.tripadvisor.com/Attraction_Review-g187514-d1520028-Reviews-Caixa_Forum-Madrid.html
28,23061658,Sweet Space Museum,Speciality Museums,Barrio de Salamanca,4.4,1422,TRUE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d23061658-Reviews-Sweet_Space_Museum-Madrid.html
29,501698,Catedral de Sta Maria la Real de la Almudena,Churches & Cathedrals,Centro,4.2,3936,TRUE,,,"Begun in 1879 but inaugurated in 1993, the cathedral is Neo-Gothic with chapels and statues of contemporary artists.The Neo-Romanesque crypt houses a 16th century image of the ""Virgen de la Almudena…",https://www.tripadvisor.com/Attraction_Review-g187514-d501698-Reviews-Catedral_de_Sta_Maria_la_Real_de_la_Almudena-Madrid.html
30,12909720,Riyadh Air Metropolitano,Arenas & Stadiums,Rosas,4.2,636,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d12909720-Reviews-Riyadh_Air_Metropolitano-Madrid.html
31,3172168,Palacio de Cibeles,Architectural Buildings,Paseo del Prado,4.4,5070,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3172168-Reviews-Palacio_de_Cibeles-Madrid.html
32,592827,Barrio de Salamanca,Neighborhoods • Historic Walking Areas,Barrio de Salamanca,4.5,1874,FALSE,,,"Poshest, most conservative section of Madrid was developed through the investments of the Marquis of Salamanca.",https://www.tripadvisor.com/Attraction_Review-g187514-d592827-Reviews-Barrio_de_Salamanca-Madrid.html
33,244281,Museo Naval,Speciality Museums • History Museums,Paseo del Prado,4.4,1934,TRUE,,,** This place is temporarily closed**The Madrid Naval Museum is a State institution which belongs to the Ministry of Defense. The Museum is under the organic command of the Admiral Chief of Naval …,https://www.tripadvisor.com/Attraction_Review-g187514-d244281-Reviews-Museo_Naval-Madrid.html
34,589307,La Latina,Neighborhoods,La Latina,4.4,1459,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d589307-Reviews-La_Latina-Madrid.html
35,10686654,Primark,Department Stores,Malasaña,4.2,644,FALSE,,,"The Irish chain store has enjoyed quite a bit of popularity in Madrid, where crowds come seeking great bargains. With five levels, this location is one of the chain's largest in the world.",https://www.tripadvisor.com/Attraction_Review-g187514-d10686654-Reviews-Primark-Madrid.html
36,244689,Lope de Vega Theater,Theaters,Centro,4,636,FALSE,Open now,,"Welcome to the Lope de Vega Theater, home of El Rey León, the musical that moves the world. The theater is located in the main and comercial street of Madrid, Gran Vía.",https://www.tripadvisor.com/Attraction_Review-g187514-d244689-Reviews-Lope_de_Vega_Theater-Madrid.html
37,8701699,Mercado De San Antón,Farmers Markets,Centro,4.2,2541,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d8701699-Reviews-Mercado_De_San_Anton-Madrid.html
38,2412546,Matadero Madrid,Art Galleries • Theaters,Arganzuela,4.2,1082,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2412546-Reviews-Matadero_Madrid-Madrid.html
39,2573161,Centro Comercial Príncipe Pío,Shopping Malls,Moncloa - Aravaca,3.9,547,FALSE,Open now,,"Set inside an old train station, this unique shopping mall is the first in Spain to open every day of the year. It offers well-known brand stores, a food court, and entertainment options.",https://www.tripadvisor.com/Attraction_Review-g187514-d2573161-Reviews-Centro_Comercial_Principe_Pio-Madrid.html
40,244592,Casa de Campo,Historic Sites • Parks,Moncloa - Aravaca,4.2,566,FALSE,,,The largest urban park situated west of central Madrid. Formerly a royal hunting estate.,https://www.tripadvisor.com/Attraction_Review-g187514-d244592-Reviews-Casa_de_Campo-Madrid.html
41,4170335,Teatro Coliseum Madrid,Theaters,Malasaña,3.6,579,FALSE,,,"Step into a world of magic and wonder with Cinderella – The Musical, opening October 3rd at Madrid’s Teatro Coliseum! This spectacular production brings the beloved fairytale to life with breathtaking…",https://www.tripadvisor.com/Attraction_Review-g187514-d4170335-Reviews-Teatro_Coliseum_Madrid-Madrid.html
42,190148,Plaza De Santa Ana,Points of Interest & Landmarks • Parks,Huertas,4.3,2823,FALSE,,,"Tapas bars and clubs line this scenic plaza, making it one of Madrid's most popular nightlife hotspots.",https://www.tripadvisor.com/Attraction_Review-g187514-d190148-Reviews-Plaza_De_Santa_Ana-Madrid.html
43,246162,Puerta de Alcala,Points of Interest & Landmarks • Monuments & Statues,Barrio de Salamanca,4.3,4082,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246162-Reviews-Puerta_de_Alcala-Madrid.html
44,244279,Museo Lázaro Galdiano,Art Museums,Barrio de Salamanca,4.5,1191,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d244279-Reviews-Museo_Lazaro_Galdiano-Madrid.html
45,501697,Plaza De España,Points of Interest & Landmarks,Arguelles,3.9,1780,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d501697-Reviews-Plaza_De_Espana-Madrid.html
46,246519,Malasaña,Neighborhoods,Malasaña,4.4,695,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246519-Reviews-Malasana-Madrid.html
47,244293,Parque De Atracciones,Amusement & Theme Parks • Theaters,Moncloa - Aravaca,3.4,2687,FALSE,,Admission Tickets Available,"Located in Casa de Campo, the venue is divided into four large themes areas: Maquinismo (machines), Naturaleza (nature), Tranquilidad (relax) and Nickelodeonland (kids).",https://www.tripadvisor.com/Attraction_Review-g187514-d244293-Reviews-Parque_De_Atracciones-Madrid.html
48,244629,Safari de Madrid,Nature & Wildlife Areas,,3.9,445,FALSE,,,"Take a drive over a course that takes you past African animals roaming the park. There's also an aviary, a reptile house, paddle boats, a giant slide, and go-carts.",https://www.tripadvisor.com/Attraction_Review-g187514-d244629-Reviews-Safari_de_Madrid-Madrid.html
49,4358775,Teatro Rialto,Theaters,Malasaña,3.8,573,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4358775-Reviews-Teatro_Rialto-Madrid.html
50,313716,Real Jardín Botánico,Gardens,Paseo del Prado,3.6,1934,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d313716-Reviews-Real_Jardin_Botanico-Madrid.html
51,244625,TEATRO GRAN VÍA,Theaters,Malasaña,3.9,270,FALSE,,,"It is one of the most relevant historical theaters in Madrid, with about 1000 seats. Among its select programming, all kinds of shows are exhibited: Musicals, concerts, dance, opera, zarzuela, and…",https://www.tripadvisor.com/Attraction_Review-g187514-d244625-Reviews-TEATRO_GRAN_VIA-Madrid.html
52,3731491,Movistar Arena,Arenas & Stadiums,Barrio de Salamanca,4,278,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3731491-Reviews-Movistar_Arena-Madrid.html
53,592213,Plaza de Oriente,Parks,Centro,4.4,3201,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d592213-Reviews-Plaza_de_Oriente-Madrid.html
54,244681,Teatro Calderón,Operas • Theaters,Huertas,3.7,438,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244681-Reviews-Teatro_Calderon-Madrid.html
55,3819836,Mercado De La Paz,Flea & Street Markets,Barrio de Salamanca,4.4,274,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3819836-Reviews-Mercado_De_La_Paz-Madrid.html
56,244715,Parque del Oeste,Parks,Salamanca (District),4.3,530,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244715-Reviews-Parque_del_Oeste-Madrid.html
57,2535893,Centro Comercial La Vaguada,Shopping Malls,Pilar,3.9,254,FALSE,,,"La Vaguada was inaugurated in 1983. It was the first shopping centre in the Community of Madrid. This led to it being considered “The Heart of Madrid”, along with its perfect location, since it is…",https://www.tripadvisor.com/Attraction_Review-g187514-d2535893-Reviews-Centro_Comercial_La_Vaguada-Madrid.html
58,244618,Círculo De Bellas Artes,Convention Centers,Paseo del Prado,3.9,1351,FALSE,Open now,,"Not only the best views of Madrid, but one of the homes of European culture. Born in 1880 the Fine Arts Circle took its current location in the center of Madrid in 1926. Since then, this non profit…",https://www.tripadvisor.com/Attraction_Review-g187514-d244618-Reviews-Circulo_De_Bellas_Artes-Madrid.html
