rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
1,246510,Plaza de España,Historic Sites • Points of Interest & Landmarks,,4.8,45481,TRUE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187443-d246510-Reviews-Plaza_de_Espana-Seville_Province_of_Seville_Andalucia.html
2,191139,Real Alcazar de Sevilla,Historic Sites,,4.7,36806,TRUE,,Admission Tickets Available,Beautiful medieval Islamic palace showcasing a unique fusion of Spanish Christian and Moorish architecture.,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-Real_Alcazar_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
3,191137,Catedral De Sevilla,Churches & Cathedrals,Casco Antiguo,4.6,27294,TRUE,,,This majestic Cathedral dates back to the 15th century and claims to be the third largest building of its kind in the world.,https://www.tripadvisor.com/Attraction_Review-g187443-d191137-Reviews-Catedral_De_Sevilla-Seville_Province_of_Seville_Andalucia.html
4,191138,Barrio Santa Cruz,Neighborhoods • Historic Walking Areas,Casco Antiguo,4.7,9008,TRUE,,,The Barrio Santa Cruz used to be the Jewish quarter. The streets are narrow and form a labyrinth. It’s easy to get lost among the jasmine-scented streets… only to discover a convent or a palace or…,https://www.tripadvisor.com/Attraction_Review-g187443-d191138-Reviews-Barrio_Santa_Cruz-Seville_Province_of_Seville_Andalucia.html
5,1015407,Setas de Sevilla,Points of Interest & Landmarks • Architectural Buildings,,4,11354,FALSE,Open now,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187443-d1015407-Reviews-Setas_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
6,191141,Parque de Maria Luisa,Parks • Gardens,,4.5,7162,TRUE,Open now,,"Peaceful urban park decorated with fountains, sculptures and monuments.",https://www.tripadvisor.com/Attraction_Review-g187443-d191141-Reviews-Parque_de_Maria_Luisa-Seville_Province_of_Seville_Andalucia.html
7,195119,Torre Giralda,Architectural Buildings • Observation Decks & Towers,Casco Antiguo,4.6,11034,TRUE,,Admission Tickets Available,"This lovely structure was originally built as a minaret for a mosque, although it has since been converted into a bell tower.",https://www.tripadvisor.com/Attraction_Review-g187443-d195119-Reviews-Torre_Giralda-Seville_Province_of_Seville_Andalucia.html
8,191201,Casa de Pilatos,Historic Sites • Architectural Buildings,Casco Antiguo,4.3,3929,TRUE,,,"Construction of this palace began in 1492. Today, part of the palace is a museum and is open to the public. There is a separate wing where the present Duchess of Medinaceli lives with her descendants…",https://www.tripadvisor.com/Attraction_Review-g187443-d191201-Reviews-Casa_de_Pilatos-Seville_Province_of_Seville_Andalucia.html
9,8517202,Centro Historico de Sevilla,Neighborhoods,,4.8,3228,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d8517202-Reviews-Centro_Historico_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
10,624428,Triana,Neighborhoods,Casco Antiguo,4.2,4558,FALSE,,,"For a more authentic and decidedly less well-scrubbed experience, it’s worth crossing the river to explore this scruffy but vibrant old quarter, historically the centre of azulejo, or glazed-tile …",https://www.tripadvisor.com/Attraction_Review-g187443-d624428-Reviews-Triana-Seville_Province_of_Seville_Andalucia.html
11,624429,Mercado de Triana,Flea & Street Markets,,4,1133,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d624429-Reviews-Mercado_de_Triana-Seville_Province_of_Seville_Andalucia.html
12,191199,Museo De Bellas Artes De Sevilla,Architectural Buildings • Art Museums,,4.4,2218,TRUE,,,"The Museum of Fine Arts of Seville, founded in 1839, contains a collection of works from medieval times through the early 20th century. It displays a choice selection of works by Spanish artists from…",https://www.tripadvisor.com/Attraction_Review-g187443-d191199-Reviews-Museo_De_Bellas_Artes_De_Sevilla-Seville_Province_of_Seville_Andalucia.html
13,539272,Real Maestranza de Caballeria de Sevilla,Historic Sites • Arenas & Stadiums,,4.1,5718,TRUE,,,"Beyond the Iberian peninsula most people are rather uncomfortable about bullfighting, which makes a visit to this venerable bullring with attached museums all the more fascinating – not least for …",https://www.tripadvisor.com/Attraction_Review-g187443-d539272-Reviews-Real_Maestranza_de_Caballeria_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
14,207833,Basilica de la Macarena,Religious Sites,,4.4,2484,TRUE,,,"This church houses La Esperanza, the weeping statue of the Virgin Mary, patroness of bullfighters.",https://www.tripadvisor.com/Attraction_Review-g187443-d207833-Reviews-Basilica_de_la_Macarena-Seville_Province_of_Seville_Andalucia.html
15,539305,Isla Magica,Amusement & Theme Parks,,3.6,2730,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187443-d539305-Reviews-Isla_Magica-Seville_Province_of_Seville_Andalucia.html
16,23441028,Museum Of Illusions Sevilla,Speciality Museums,,4.7,527,FALSE,,,"Enter the fascinating world of illusions which will trick your confidence in senses, but amaze you by doing it; the world that will confuse you completely, but also educate you… Visit us and you will…",https://www.tripadvisor.com/Attraction_Review-g187443-d23441028-Reviews-Museum_Of_Illusions_Sevilla-Seville_Province_of_Seville_Andalucia.html
17,15195648,Centro Comercial Torre Sevilla,Shopping Malls,,4.5,473,FALSE,,,"The TORRE SEVILLA Commercial Centre is the only open-air commercial centre in Seville. Its totally open concept allows you to enjoy fashion, services, sports, culture and gastronomy, while taking …",https://www.tripadvisor.com/Attraction_Review-g187443-d15195648-Reviews-Centro_Comercial_Torre_Sevilla-Seville_Province_of_Seville_Andalucia.html
18,10076102,Palacio De Las Duenas,Historic Sites • Architectural Buildings,,4.4,1689,TRUE,,Admission Tickets Available,"Las Dueñas Palace, House of Alba's current residence in Seville, was built between the 15th and 16th centuries and is one of the greatest historical attractions of the city. The building itself, including…",https://www.tripadvisor.com/Attraction_Review-g187443-d10076102-Reviews-Palacio_De_Las_Duenas-Seville_Province_of_Seville_Andalucia.html
19,2167889,Iglesia Colegial del Salvador,Churches & Cathedrals,,4.5,2186,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d2167889-Reviews-Iglesia_Colegial_del_Salvador-Seville_Province_of_Seville_Andalucia.html
