location_id,name,stars,rating,num_reviews,ranking_barcelona,price_min_usd,price_max_usd,price_lowest,address,phone,latitude,longitude,category,url
190615,Claris Hotel & Spa,5,4.4,3132,#85 of 521 hotels in Barcelona,226,846,$190,"Pau Claris, 150, 08009 Barcelona Spain",+34 934 87 62 62,41.394367,2.165189,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d190615-Reviews-Claris_Hotel_Spa-Barcelona_Catalonia.html
190616,Majestic Hotel & Spa Barcelona,5,4.6,4793,#36 of 521 hotels in Barcelona,379,970,$377,"Paseo de Gracia, 68, 08007 Barcelona Spain",+34 934 88 17 17,41.393536,2.163977,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d190616-Reviews-Majestic_Hotel_Spa_Barcelona-Barcelona_Catalonia.html
190617,Hotel El Palace Barcelona,5,4.7,2814,#21 of 521 hotels in Barcelona,482,1089,$470,"Gran Via de les Corts Catalanes, 668, 08010 Barcelona Spain",+34 935 10 11 30,41.3914,2.171451,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d190617-Reviews-Hotel_El_Palace_Barcelona-Barcelona_Catalonia.html
190635,Hotel Arts Barcelona,5,4.4,5965,#183 of 521 hotels in Barcelona,501,1525,$461,"Marina 19-21, 08005 Barcelona Spain",+34 932 21 10 00,41.386936,2.196468,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d190635-Reviews-Hotel_Arts_Barcelona-Barcelona_Catalonia.html
191046,Hotel Serhs Rivoli Rambla,4,3.9,2293,#262 of 521 hotels in Barcelona,141,407,$146,"La Rambla, 128, 08002 Barcelona Spain",+349034817676,41.38432,2.171241,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d191046-Reviews-Hotel_Serhs_Rivoli_Rambla-Barcelona_Catalonia.html
195127,Pension 45,2,2.6,217,#293 of 313 B&Bs / Inns in Barcelona,75,232,,"C. Tallers, 45 El Raval, 08001 Barcelona Spain",+34 933 02 70 61,41.38463,2.167786,BB,https://www.tripadvisor.com/Hotel_Review-g187497-d195127-Reviews-Pension_45-Barcelona_Catalonia.html
195260,Meson Castilla Atiram,2,4.1,1389,#136 of 521 hotels in Barcelona,131,393,$146,"Valldonzella, 5, 08001 Barcelona Spain",+34 933 18 21 82,41.38478,2.16656,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d195260-Reviews-Meson_Castilla_Atiram-Barcelona_Catalonia.html
206920,NH Collection Barcelona Pódium,4,4.6,1673,#71 of 521 hotels in Barcelona,187,679,$221,"Carrer de Bailèn 4-6, 08010 Barcelona Spain",+34 932 65 02 02,41.391624,2.177928,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206920-Reviews-NH_Collection_Barcelona_Podium-Barcelona_Catalonia.html
206921,NH Collection Barcelona Gran Hotel Calderón,5,4.4,1895,#126 of 521 hotels in Barcelona,252,574,$355,"Rambla Catalunya, 26 Eixample, 08007 Barcelona Spain",+34 933 01 00 00,41.389397,2.166138,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206921-Reviews-NH_Collection_Barcelona_Gran_Hotel_Calderon-Barcelona_Catalonia.html
206922,HG City Suites Barcelona,3,4.6,244,#109 of 521 hotels in Barcelona,145,338,$156,"Calle Via Augusta 89, 08006 Barcelona Spain",+34 932 37 39 40,41.400837,2.150025,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206922-Reviews-HG_City_Suites_Barcelona-Barcelona_Catalonia.html
