location_id,name,stars,rating,num_reviews,ranking_seville,price_min_usd,price_max_usd,price_lowest,address,phone,latitude,longitude,category,url
191203,"Los Seises Sevilla, a Tribute Portfolio Hotel",4,3.9,839,#112 of 217 hotels in Seville,231,730,$245,"Calle Segovia 6, Tercer Patio Del Palacio Arzobispal Tercer Patio Del Palacio Arzobisal, 41004 Seville Spain",+34 954 22 94 95,37.38756,-5.991655,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d191203-Reviews-Los_Seises_Sevilla_a_Tribute_Portfolio_Hotel-Seville_Province_of_Seville_Andalucia.html
191204,Hotel Colón Gran Meliá,5,4.6,3792,#13 of 217 hotels in Seville,371,1137,$305,"Calle Canalejas, 1 Old Town, 41001 Seville Spain",+34 954 50 55 99,37.390797,-5.998808,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d191204-Reviews-Hotel_Colon_Gran_Melia-Seville_Province_of_Seville_Andalucia.html
191205,"Hotel Alfonso Xiii, A Luxury Collection Hotel, Seville",5,4.5,3677,#60 of 217 hotels in Seville,661,1624,$827,"San Fernando 2, 41004 Seville Spain",+34 954 91 70 00,37.38184,-5.992581,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d191205-Reviews-Hotel_Alfonso_Xiii_A_Luxury_Collection_Hotel_Seville-Seville_Province_of_Seville_Andalu.html
191207,Las Casas de la Juderia,4,4.1,4087,#80 of 217 hotels in Seville,170,542,$165,"Calle Santa Maria la Blanca, 5, 41004 Seville Spain",+34 954 41 51 50,37.386806,-5.987239,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d191207-Reviews-Las_Casas_de_la_Juderia-Seville_Province_of_Seville_Andalucia.html
191208,Hotel Villa de la Palmera,4,4,26,#176 of 217 hotels in Seville,,,,"Avenida Palmera 57, 41013 Seville Spain",+34 954 23 85 60,37.35807,-5.980488,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d191208-Reviews-Hotel_Villa_de_la_Palmera-Seville_Province_of_Seville_Andalucia.html
206960,Hotel Occidental Sevilla Viapol,4,4.5,504,#43 of 217 hotels in Seville,99,344,$147,"Balbino Marron 9 San Bernardo, 41018 Seville Spain",+34 954 64 52 54,37.378660000000004,-5.978024,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d206960-Reviews-Hotel_Occidental_Sevilla_Viapol-Seville_Province_of_Seville_Andalucia.html
206961,NH Sevilla Plaza De Armas,4,4.2,3953,#50 of 217 hotels in Seville,143,407,$146,"Marques de Parada, s/n Plaza de Armas Area, 41001 Seville Spain",+34 954 90 19 92,37.3924,-6.002287,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d206961-Reviews-NH_Sevilla_Plaza_De_Armas-Seville_Province_of_Seville_Andalucia.html
228476,Hesperia Sevilla,4,4.7,286,#25 of 217 hotels in Seville,120,385,$116,"Avenida Eduardo Dato 49 Nervion, 41018 Seville Spain",+34 954 54 83 00,37.383595,-5.975017,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228476-Reviews-Hesperia_Sevilla-Seville_Province_of_Seville_Andalucia.html
228514,Monte Triana Hotel,4,4.5,2241,#46 of 217 hotels in Seville,129,264,$157,"Calle Clara de Jesús Montero, nº 24, 41010 Seville Spain",+34 954 34 31 11,37.387535,-6.007929,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228514-Reviews-Monte_Triana_Hotel-Seville_Province_of_Seville_Andalucia.html
228516,Silken Al-Andalus Palace Hotel,4,3.9,5771,#115 of 217 hotels in Seville,,,,"Avenida de La Palmera S/N Esq. C/ Paraná, 41012 Seville Spain",+34 954 23 06 00,37.35412,-5.980224,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228516-Reviews-Silken_Al_Andalus_Palace_Hotel-Seville_Province_of_Seville_Andalucia.html
228562,Catalonia Hispalis,3,3.5,665,#143 of 217 hotels in Seville,83,260,$102,"Av. Andalucía, 52, 41006 Seville Spain",+34 954 25 00 00,37.386135,-5.942511,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228562-Reviews-Catalonia_Hispalis-Seville_Province_of_Seville_Andalucia.html
228564,Catalonia Giralda,4,3.9,1317,#85 of 217 hotels in Seville,133,346,$159,"Calle de la Sierra Nevada 3, 41003 Seville Spain",+34 954 41 66 61,37.390156,-5.984817,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228564-Reviews-Catalonia_Giralda-Seville_Province_of_Seville_Andalucia.html
228575,AC Hotel Ciudad de Sevilla,4,3.7,583,#130 of 217 hotels in Seville,169,390,$195,"Av Manuel Siurot 25, 41013 Seville Spain",+34 954 23 05 05,37.36408,-5.98321,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228575-Reviews-AC_Hotel_Ciudad_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
228591,Catalonia Santa Justa,4,4.1,1218,#62 of 217 hotels in Seville,116,342,$92,"Calle Jose Laguillo 8, 41003 Seville Spain",+34 954 41 11 11,37.393635,-5.982704,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187443-d228591-Reviews-Catalonia_Santa_Justa-Seville_Province_of_Seville_Andalucia.html
