location_id,name,rating,review_count,cuisine,price_range,url
693822,Restaurante Manolo,4.1,69,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d693822-Reviews-Restaurante_Manolo-Barcelona_Catalonia.html
693967,Elisabets Restaurant,4.2,807,"Mediterranean, European",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d693967-Reviews-Elisabets_Restaurant-Barcelona_Catalonia.html
697396,7 Portes,3.9,9662,"Seafood, International",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697396-Reviews-7_Portes-Barcelona_Catalonia.html
697400,Agua,3.8,2284,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697400-Reviews-Agua-Barcelona_Catalonia.html
697409,Restaurant Amaya,3.0,476,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697409-Reviews-Restaurant_Amaya-Barcelona_Catalonia.html
697415,Granja Primavera,4.7,169,"Cafe, Mediterranean",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697415-Reviews-Granja_Primavera-Barcelona_Catalonia.html
697426,Restaurante Biocenter,4.1,761,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697426-Reviews-Restaurante_Biocenter-Barcelona_Catalonia.html
697432,Botafumeiro,4.2,4981,"Seafood, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697432-Reviews-Botafumeiro-Barcelona_Catalonia.html
697436,Ca l isidre,4.4,463,"Mediterranean, Spanish",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697436-Reviews-Ca_l_isidre-Barcelona_Catalonia.html
697438,Caelis,4.5,1192,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697438-Reviews-Caelis-Barcelona_Catalonia.html
697443,Celler de la Ribera,3.6,398,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697443-Reviews-Celler_de_la_Ribera-Barcelona_Catalonia.html
697448,Cafe Del Centre,3.8,127,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697448-Reviews-Cafe_Del_Centre-Barcelona_Catalonia.html
697457,Cafe de L Opera,3.5,826,"Cafe, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697457-Reviews-Cafe_de_L_Opera-Barcelona_Catalonia.html
697458,Cal Pep,4.2,2539,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697458-Reviews-Cal_Pep-Barcelona_Catalonia.html
697460,Can Cortada,4.3,1593,"Steakhouse, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697460-Reviews-Can_Cortada-Barcelona_Catalonia.html
697461,Can Culleretes,3.8,2115,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697461-Reviews-Can_Culleretes-Barcelona_Catalonia.html
697463,Can Majo,4.1,2155,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697463-Reviews-Can_Majo-Barcelona_Catalonia.html
697465,Can Ramonet,3.7,1371,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697465-Reviews-Can_Ramonet-Barcelona_Catalonia.html
697478,Casa Leopoldo,4.3,84,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697478-Reviews-Casa_Leopoldo-Barcelona_Catalonia.html
697486,Restaurante Casi Casi,4.3,3,family trattoria at the top,,https://www.tripadvisor.com/Restaurant_Review-g187497-d697486-Reviews-Restaurante_Casi_Casi-Barcelona_Catalonia.html
697487,Cava Universal,2.9,36,"Bar, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697487-Reviews-Cava_Universal-Barcelona_Catalonia.html
697490,Bar Cervantes,4.2,142,"Mediterranean, Spanish",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697490-Reviews-Bar_Cervantes-Barcelona_Catalonia.html
697497,Cinc Sentits,4.6,1052,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697497-Reviews-Cinc_Sentits-Barcelona_Catalonia.html
697505,Con Gracia,4.7,2648,"Mediterranean, Spanish",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697505-Reviews-Con_Gracia-Barcelona_Catalonia.html
697506,Guanabara by El Rodizio,3.5,655,"Steakhouse, Brazilian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697506-Reviews-Guanabara_by_El_Rodizio-Barcelona_Catalonia.html
697553,EL PORTALON,4.0,889,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697553-Reviews-EL_PORTALON-Barcelona_Catalonia.html
697559,Bar El Roure,3.4,168,"Bar, Mediterranean",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697559-Reviews-Bar_El_Roure-Barcelona_Catalonia.html
697560,El Salon Restaurant,4.6,910,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697560-Reviews-El_Salon_Restaurant-Barcelona_Catalonia.html
697568,Cerveceria El Vaso de Oro,4.4,1496,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697568-Reviews-Cerveceria_El_Vaso_de_Oro-Barcelona_Catalonia.html
697571,El Xampanyet,4.5,2920,"European, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697571-Reviews-El_Xampanyet-Barcelona_Catalonia.html
697573,Elche,3.8,1181,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697573-Reviews-Elche-Barcelona_Catalonia.html
697575,Restaurant Els Ocellets,4.2,157,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697575-Reviews-Restaurant_Els_Ocellets-Barcelona_Catalonia.html
697576,Els Pescadors,3.5,934,"Seafood, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697576-Reviews-Els_Pescadors-Barcelona_Catalonia.html
697578,Essence by Espaisucre,3.9,181,European,$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697578-Reviews-Essence_by_Espaisucre-Barcelona_Catalonia.html
697579,Restaurant Ca L Estevet,4.4,614,Catalan,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697579-Reviews-Restaurant_Ca_L_Estevet-Barcelona_Catalonia.html
697581,Fil Manila,4.0,73,"Filipino, Asian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697581-Reviews-Fil_Manila-Barcelona_Catalonia.html
697582,Flash Flash,3.6,569,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697582-Reviews-Flash_Flash-Barcelona_Catalonia.html
697586,Gorria,4.4,601,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697586-Reviews-Gorria-Barcelona_Catalonia.html
697587,Restaurante Govinda,3.7,266,Indian,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697587-Reviews-Restaurante_Govinda-Barcelona_Catalonia.html
697611,Bar Kasparo,4.0,217,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697611-Reviews-Bar_Kasparo-Barcelona_Catalonia.html
717238,El Pintor,3.9,527,"Spanish, Grill",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717238-Reviews-El_Pintor-Barcelona_Catalonia.html
717241,Bar Jai Ca,4.1,2080,"Bar, Seafood",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717241-Reviews-Bar_Jai_Ca-Barcelona_Catalonia.html
717255,Restaurante L hortet,4.3,311,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717255-Reviews-Restaurante_L_hortet-Barcelona_Catalonia.html
717257,L Olive,4.1,812,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717257-Reviews-L_Olive-Barcelona_Catalonia.html
717258,La Balsa,3.8,480,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717258-Reviews-La_Balsa-Barcelona_Catalonia.html
717260,La Bodegueta,3.9,885,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717260-Reviews-La_Bodegueta-Barcelona_Catalonia.html
717269,La Dama,4.1,290,"French, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717269-Reviews-La_Dama-Barcelona_Catalonia.html
717271,La Dolca Herminia,3.6,1024,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717271-Reviews-La_Dolca_Herminia-Barcelona_Catalonia.html
717275,La Fonda,3.8,7080,"Spanish, Catalan",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717275-Reviews-La_Fonda-Barcelona_Catalonia.html
717284,La Llotja,3.2,53,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717284-Reviews-La_Llotja-Barcelona_Catalonia.html
717291,Taverna La Parra,3.7,239,"Mediterranean, Barbecue",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717291-Reviews-Taverna_La_Parra-Barcelona_Catalonia.html
717300,Bodega la Tinaja,4.5,400,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717300-Reviews-Bodega_la_Tinaja-Barcelona_Catalonia.html
717310,La Vinya del Senyor,4.1,535,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717310-Reviews-La_Vinya_del_Senyor-Barcelona_Catalonia.html
717312,Laie Libreria Cafe,3.8,127,"Cafe, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717312-Reviews-Laie_Libreria_Cafe-Barcelona_Catalonia.html
717318,Les Gens Que L Aime Pub,4.2,161,Pub,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717318-Reviews-Les_Gens_Que_L_Aime_Pub-Barcelona_Catalonia.html
717319,Les Quinze Nits,3.6,6496,"Italian, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717319-Reviews-Les_Quinze_Nits-Barcelona_Catalonia.html
