location_id,name,rating,review_count,cuisine,price_range,url
693911,Edelweiss,3.4,416,"European, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d693911-Reviews-Edelweiss-Madrid.html
697406,Al Mounia,3.8,529,"Moroccan, Arabic",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697406-Reviews-Al_Mounia-Madrid.html
697411,Restaurante Arce,4.0,383,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697411-Reviews-Restaurante_Arce-Madrid.html
697414,Artemisa Sol Huertas,4.1,645,"French, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697414-Reviews-Artemisa_Sol_Huertas-Madrid.html
697417,Taberna Salamanca,3.5,207,"Mediterranean, Wine Bar",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697417-Reviews-Taberna_Salamanca-Madrid.html
697430,Bodega La Ardosa,3.7,178,"Bar, Spanish",$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697430-Reviews-Bodega_La_Ardosa-Madrid.html
697440,Cafe Comercial,3.5,765,"Cafe, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697440-Reviews-Cafe_Comercial-Madrid.html
697444,Cafe de los Austrias,3.2,247,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697444-Reviews-Cafe_de_los_Austrias-Madrid.html
697445,Cafe de Oriente,3.9,1373,"Cafe, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697445-Reviews-Cafe_de_Oriente-Madrid.html
697447,La Pecera del Circulo,3.3,892,"Cafe, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697447-Reviews-La_Pecera_del_Circulo-Madrid.html
697453,Saigon Music Lunch,3.8,481,"Mediterranean, Asian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697453-Reviews-Saigon_Music_Lunch-Madrid.html
697471,Casa Alberto,4.1,1669,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-Casa_Alberto-Madrid.html
697476,Casa Gallega,4.2,896,"Seafood, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697476-Reviews-Casa_Gallega-Madrid.html
697479,Casa Lucio,3.9,4468,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697479-Reviews-Casa_Lucio-Madrid.html
697480,Casa Mingo,3.8,1777,Spanish,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697480-Reviews-Casa_Mingo-Madrid.html
697482,Restaurante Casa Paco,3.7,458,Spanish,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697482-Reviews-Restaurante_Casa_Paco-Madrid.html
697489,Centro Riojano,4.0,101,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697489-Reviews-Centro_Riojano-Madrid.html
697493,Cerveceria Santa Ana,3.3,797,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697493-Reviews-Cerveceria_Santa_Ana-Madrid.html
697496,Museo Chicote,4.0,688,"Bar, Pub",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697496-Reviews-Museo_Chicote-Madrid.html
697508,Desde 1911,4.6,57,"Seafood, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697508-Reviews-Desde_1911-Madrid.html
697513,Donzoko,4.1,431,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697513-Reviews-Donzoko-Madrid.html
697517,Ecocentro Bio bufe,3.9,286,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697517-Reviews-Ecocentro_Bio_bufe-Madrid.html
697520,Taqueria del Alamillo,3.6,732,"Mexican, Southwestern",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697520-Reviews-Taqueria_del_Alamillo-Madrid.html
697524,Bocaito,3.4,395,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697524-Reviews-Bocaito-Madrid.html
697525,El Botanico,3.6,499,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697525-Reviews-El_Botanico-Madrid.html
697528,El Cafe De La Opera,3.8,719,"Cafe, International",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697528-Reviews-El_Cafe_De_La_Opera-Madrid.html
697530,El Caldero,3.5,947,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697530-Reviews-El_Caldero-Madrid.html
